e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
3,  0, silent, 1, 804, 11, 0.343797, 0.000000, 0.656203
3,  0, silent, 2, 851, 11, 1.037983, 0.000000, 0.883176
3,  0, silent, 3, 266, 11, 1.414639, 0.000000, 0.667360
3,  0, silent, 4, 26, 11, 0.305479, 0.000000, 0.101826
3,  0, g1, 0, 120, 11, 0.000000, 0.000000, 0.000000
3,  0, g1, 1, 832, 11, 0.271577, 0.000000, 0.648317
3,  0, g1, 2, 762, 11, 1.092427, 0.000000, 0.907573
3,  0, g1, 3, 228, 11, 1.703328, 0.000000, 0.786371
3,  0, g1, 4, 58, 11, 0.318439, 0.000000, 0.106146
3,  0, g2, 0, 153, 11, 0.000000, 0.000000, 0.000000
3,  0, g2, 1, 642, 11, 0.252310, 0.000000, 0.673256
3,  0, g2, 2, 833, 11, 1.025206, 0.000000, 0.832798
3,  0, g2, 3, 312, 11, 2.029782, 0.000000, 0.970218
3,  0, g2, 4, 60, 11, 0.371196, 0.000000, 0.123732
3,  0, g3, 0, 239, 11, 0.000000, 0.000000, 0.000000
3,  0, g3, 1, 696, 11, 0.225563, 0.000000, 0.717707
3,  0, g3, 2, 767, 11, 1.118718, 0.000000, 0.881282
3,  0, g3, 3, 259, 11, 1.145788, 0.000000, 0.550588
3,  0, g3, 4, 39, 11, 0.223013, 0.000000, 0.074338
3,  0, g4, 0, 49, 11, 0.000000, 0.000000, 0.000000
3,  0, g4, 1, 792, 11, 0.281625, 0.000000, 0.640660
3,  0, g4, 2, 875, 11, 1.002637, 0.000000, 0.859827
3,  0, g4, 3, 253, 11, 1.039867, 0.000000, 0.498963
3,  0, g4, 4, 31, 11, 3.000000, 0.000000, 1.000000
3,  0, g5, 0, 148, 11, 0.000000, 0.000000, 0.000000
3,  0, g5, 1, 640, 11, 0.259569, 0.000000, 0.703699
3,  0, g5, 2, 825, 11, 1.103735, 0.000000, 0.896265
3,  0, g5, 3, 321, 11, 0.991037, 0.000000, 0.482197
3,  0, g5, 4, 66, 11, 0.394714, 0.000000, 0.131571
3,  0, g6, 0, 73, 11, 0.000000, 0.000000, 0.000000
3,  0, g6, 1, 809, 11, 0.281992, 0.000000, 0.644121
3,  0, g6, 2, 818, 11, 1.039829, 0.000000, 0.870056
3,  0, g6, 3, 274, 11, 1.440826, 0.000000, 0.698935
3,  0, g6, 4, 26, 11, 0.349723, 0.000000, 0.116574
3,  0, g7, 0, 166, 11, 0.000000, 0.000000, 0.000000
3,  0, g7, 1, 676, 11, 0.315196, 0.000000, 0.613414
3,  0, g7, 2, 827, 11, 1.092000, 0.000000, 0.908000
3,  0, g7, 3, 276, 11, 1.164703, 0.000000, 0.568519
3,  0, g7, 4, 55, 11, 0.273302, 0.000000, 0.091101
