e, f, n, group, avg. score, avg alive friends, avg dead enemies, average alive
2, 4, 11, g4, 4.000000, 2.212394, 0.550788, 0.508329
2, 4, 11, g5, 4.000000, 2.185466, 0.609673, 0.594870
2, 4, 11, g6, 4.000000, 2.237093, 0.521376, 0.527262
2, 4, 11, g7, 4.000000, 2.251533, 0.523232, 0.574794
2, 4, 11, g8, 4.000000, 2.292450, 0.593798, 0.621900
2, 4, 11, g9, 4.000000, 2.242613, 0.591758, 0.557024
3, 4, 11, dumb, 3.000000, 1.939549, 0.688340, 0.496687
3, 4, 11, silent, 4.000000, 2.094494, 0.819698, 0.524566
3, 4, 11, g1, 4.000000, 1.996901, 0.770648, 0.513226
3, 4, 11, g2, 4.000000, 2.058010, 0.824427, 0.465755
3, 4, 11, g3, 4.000000, 1.999909, 0.826448, 0.562398
3, 4, 11, g4, 4.000000, 2.011577, 0.783719, 0.497693
3, 4, 11, g5, 4.000000, 2.170708, 0.817894, 0.567035
3, 4, 11, g6, 4.000000, 2.087515, 0.810976, 0.534184
3, 4, 11, g7, 4.000000, 2.095523, 0.776542, 0.529027
3, 4, 11, g8, 4.000000, 2.172732, 0.834771, 0.462611
3, 4, 11, g9, 4.000000, 2.138258, 0.841203, 0.526435
4, 4, 11, dumb, 4.000000, 1.899332, 0.932927, 0.455055
4, 4, 11, silent, 4.000000, 1.970289, 1.042903, 0.537938
4, 4, 11, g1, 4.000000, 1.823681, 0.960166, 0.457576
4, 4, 11, g2, 4.000000, 2.097889, 1.152773, 0.506355
4, 4, 11, g3, 4.000000, 2.039515, 1.081184, 0.410660
4, 4, 11, g4, 4.000000, 1.912095, 0.982622, 0.474858
4, 4, 11, g5, 4.000000, 1.989876, 1.076370, 0.505126
4, 4, 11, g6, 4.000000, 2.116506, 1.121431, 0.477765
4, 4, 11, g7, 4.000000, 2.039685, 0.977036, 0.467484
4, 4, 11, g8, 4.000000, 2.129824, 1.192546, 0.568437
4, 4, 11, g9, 4.000000, 1.971553, 0.980063, 0.514402
5, 4, 11, dumb, 4.000000, 1.849217, 1.288810, 0.456384
5, 4, 11, silent, 5.000000, 1.885442, 1.340115, 0.459748
5, 4, 11, g1, 4.000000, 1.814417, 1.288368, 0.469023
5, 4, 11, g2, 5.000000, 2.004373, 1.474922, 0.492787
5, 4, 11, g3, 5.000000, 1.853980, 1.332911, 0.486212
5, 4, 11, g4, 4.000000, 1.806233, 1.272071, 0.432238
5, 4, 11, g5, 5.000000, 1.898866, 1.344417, 0.473032
5, 4, 11, g6, 5.000000, 1.910433, 1.296183, 0.439551
5, 4, 11, g7, 5.000000, 1.763758, 1.239121, 0.429678
5, 4, 11, g8, 5.000000, 1.882497, 1.323328, 0.460196
5, 4, 11, g9, 5.000000, 1.948543, 1.343293, 0.502562
6, 4, 11, dumb, 4.000000, 2.053366, 1.611577, 0.469590
6, 4, 11, silent, 5.000000, 1.888722, 1.522239, 0.424881
6, 4, 11, g1, 5.000000, 1.881176, 1.513028, 0.459995
6, 4, 11, g2, 5.000000, 1.991188, 1.635160, 0.470787
6, 4, 11, g3, 5.000000, 1.882376, 1.572279, 0.514723
6, 4, 11, g4, 5.000000, 1.978585, 1.666177, 0.531898
6, 4, 11, g5, 5.000000, 2.090520, 1.719849, 0.493733
6, 4, 11, g6, 5.000000, 2.008880, 1.657787, 0.475598
6, 4, 11, g7, 5.000000, 1.985856, 1.654110, 0.495304
6, 4, 11, g8, 5.000000, 1.857308, 1.470933, 0.433460
6, 4, 11, g9, 5.000000, 2.032939, 1.677631, 0.480458
0, 6, 11, dumb, 5.000000, 4.072384, 0.000000, 0.668631
0, 6, 11, silent, 5.000000, 4.522486, 0.000000, 0.784174
0, 6, 11, g1, 5.000000, 4.135494, 0.000000, 0.665312
0, 6, 11, g2, 5.000000, 4.446586, 0.000000, 0.773498
0, 6, 11, g3, 5.000000, 4.283539, 0.000000, 0.694813
0, 6, 11, g4, 5.000000, 4.557810, 0.000000, 0.770019
0, 6, 11, g5, 5.000000, 4.555070, 0.000000, 0.735272
0, 6, 11, g6, 5.000000, 4.322705, 0.000000, 0.734408
0, 6, 11, g7, 5.000000, 4.688930, 0.000000, 0.789696
0, 6, 11, g8, 5.000000, 4.388245, 0.000000, 0.730781
0, 6, 11, g9, 5.000000, 4.556279, 0.000000, 0.745937
1, 6, 11, dumb, 4.000000, 3.196609, 0.201535, 0.540532
1, 6, 11, silent, 5.000000, 3.326227, 0.196051, 0.570026
1, 6, 11, g1, 5.000000, 3.329433, 0.302173, 0.581161
1, 6, 11, g2, 5.000000, 3.340055, 0.251624, 0.583039
1, 6, 11, g3, 5.000000, 3.470173, 0.306367, 0.613587
1, 6, 11, g4, 5.000000, 3.433952, 0.246895, 0.516083
1, 6, 11, g5, 5.000000, 3.554211, 0.310337, 0.580970
1, 6, 11, g6, 5.000000, 3.425417, 0.303052, 0.583696
1, 6, 11, g7, 5.000000, 3.369439, 0.254899, 0.554014
1, 6, 11, g8, 5.000000, 3.438622, 0.325355, 0.531477
1, 6, 11, g9, 5.000000, 3.569141, 0.328972, 0.613140
2, 6, 11, dumb, 4.000000, 3.194329, 0.409500, 0.472037
2, 6, 11, silent, 5.000000, 2.979338, 0.467996, 0.499766
2, 6, 11, g1, 5.000000, 3.210151, 0.700907, 0.540933
2, 6, 11, g2, 5.000000, 2.878644, 0.561291, 0.464108
2, 6, 11, g3, 5.000000, 3.076215, 0.546615, 0.552422
2, 6, 11, g4, 5.000000, 2.980074, 0.464269, 0.470098
2, 6, 11, g5, 5.000000, 3.036897, 0.506671, 0.490764
2, 6, 11, g6, 5.000000, 3.154251, 0.646452, 0.532659
2, 6, 11, g7, 5.000000, 3.004061, 0.538010, 0.509332
2, 6, 11, g8, 5.000000, 3.102628, 0.535304, 0.499079
2, 6, 11, g9, 5.000000, 3.023131, 0.555221, 0.548733
3, 6, 11, dumb, 5.000000, 2.719391, 0.705472, 0.480220
3, 6, 11, silent, 5.000000, 2.709355, 0.663434, 0.449249
3, 6, 11, g1, 5.000000, 2.793470, 0.753124, 0.442693
3, 6, 11, g2, 5.000000, 2.955904, 0.724852, 0.496785
3, 6, 11, g3, 5.000000, 2.906602, 0.745550, 0.474303
3, 6, 11, g4, 5.000000, 2.698021, 0.702229, 0.449781
3, 6, 11, g5, 5.000000, 3.081868, 0.744742, 0.495520
3, 6, 11, g6, 5.000000, 2.919810, 0.738907, 0.437244
3, 6, 11, g7, 5.000000, 3.064263, 0.765009, 0.534961
3, 6, 11, g8, 5.000000, 2.973964, 0.802274, 0.510130
3, 6, 11, g9, 5.000000, 3.053957, 0.757053, 0.547130
4, 6, 11, dumb, 5.000000, 2.938436, 1.082312, 0.459789
4, 6, 11, silent, 5.000000, 2.649500, 0.946081, 0.456920
4, 6, 11, g1, 6.000000, 2.799417, 1.087469, 0.417823
4, 6, 11, g2, 6.000000, 2.741817, 1.026587, 0.444274
4, 6, 11, g3, 5.000000, 2.633503, 0.986417, 0.500289
4, 6, 11, g4, 5.000000, 2.678559, 0.985371, 0.513204
4, 6, 11, g5, 5.000000, 2.705552, 1.024396, 0.445934
4, 6, 11, g6, 5.000000, 2.687336, 1.005665, 0.444263
4, 6, 11, g7, 6.000000, 2.822322, 1.049766, 0.394858
4, 6, 11, g8, 6.000000, 2.674228, 0.958481, 0.437112
4, 6, 11, g9, 6.000000, 2.803648, 1.039996, 0.441965
0, 8, 11, dumb, 7.000000, 6.276123, 0.000000, 0.810054
0, 8, 11, silent, 7.000000, 5.933333, 0.000000, 0.738902
0, 8, 11, g1, 7.000000, 6.027384, 0.000000, 0.748441
0, 8, 11, g2, 7.000000, 6.156579, 0.000000, 0.771542
0, 8, 11, g3, 7.000000, 6.591819, 0.000000, 0.829885
0, 8, 11, g4, 7.000000, 6.066893, 0.000000, 0.762939
0, 8, 11, g5, 7.000000, 5.948036, 0.000000, 0.726708
0, 8, 11, g6, 7.000000, 6.318009, 0.000000, 0.781608
0, 8, 11, g7, 7.000000, 6.004491, 0.000000, 0.752229
0, 8, 11, g8, 7.000000, 5.962636, 0.000000, 0.751829
0, 8, 11, g9, 7.000000, 6.213436, 0.000000, 0.776740
1, 8, 11, dumb, 6.000000, 5.053602, 0.194209, 0.632740
1, 8, 11, silent, 6.000000, 5.026068, 0.123285, 0.648094
1, 8, 11, g1, 7.000000, 5.217465, 0.292313, 0.590946
1, 8, 11, g2, 7.000000, 5.130317, 0.233186, 0.586230
1, 8, 11, g3, 7.000000, 4.954623, 0.176402, 0.629614
1, 8, 11, g4, 6.000000, 5.001127, 0.138522, 0.686795
1, 8, 11, g5, 7.000000, 5.128883, 0.157485, 0.560191
1, 8, 11, g6, 7.000000, 4.806112, 0.170509, 0.620106
1, 8, 11, g7, 7.000000, 4.993114, 0.191414, 0.651284
1, 8, 11, g8, 7.000000, 5.212005, 0.274143, 0.680882
1, 8, 11, g9, 7.000000, 5.167760, 0.212364, 0.703679
2, 8, 11, dumb, 6.000000, 4.712252, 0.362254, 0.587423
2, 8, 11, silent, 6.000000, 4.223830, 0.265730, 0.523133
2, 8, 11, g1, 7.000000, 4.466422, 0.444618, 0.566941
2, 8, 11, g2, 7.000000, 4.438163, 0.355176, 0.546843
2, 8, 11, g3, 6.000000, 4.389074, 0.399901, 0.559118
2, 8, 11, g4, 6.000000, 4.116256, 0.239921, 0.494192
2, 8, 11, g5, 7.000000, 4.269808, 0.380505, 0.534731
2, 8, 11, g6, 7.000000, 4.309086, 0.342728, 0.547331
2, 8, 11, g7, 7.000000, 4.328497, 0.334283, 0.548859
2, 8, 11, g8, 7.000000, 4.303383, 0.357217, 0.524869
2, 8, 11, g9, 7.000000, 4.504314, 0.410783, 0.584815
0, 10, 11, dumb, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, silent, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g1, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g2, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g3, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g4, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g5, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g6, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g7, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g8, 11.000000, 10.000000, 0.000000, 1.000000
0, 10, 11, g9, 11.000000, 10.000000, 0.000000, 1.000000
